Date,Total Stock Market,Communications,Materials,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrial,Technology,Real Estate,Utilities,BioTech,Defense,Semiconductor,Home Construction
2000-01-03,,,,,,,,,16.283916473388672,16.88597297668457,19.81138038635254,43.26283264160156,14.231282234191895,13.261072158813477,22.506959915161133,23.411849975585938
2000-01-04,,,,,,,,,16.127145767211914,16.56812286376953,19.264047622680664,41.06798553466797,13.83053970336914,12.86105728149414,21.99624252319336,22.707548141479492
2000-01-05,,,,,,,,,16.793397903442383,17.005168914794922,19.17818260192871,40.45830154418945,14.074895858764648,13.185598373413086,21.798913955688477,22.428253173828125
2000-01-06,,,,,,,,,17.224506378173828,17.66073989868164,19.435760498046875,39.11701583862305,14.338801383972168,13.162952423095703,21.86855125427246,22.683263778686523
2000-01-07,,,,,,,,,17.214706420898438,17.849464416503906,20.176273345947266,39.79985809326172,15.247806549072266,13.276169776916504,22.135530471801758,23.75185203552246
2000-01-10,,,,,,,,,17.155925750732422,17.70047378540039,20.176273345947266,41.31184768676758,14.905699729919434,13.321451187133789,24.398996353149414,23.63042640686035
2000-01-11,,,,,,,,,16.950164794921875,17.7203369140625,19.918701171875,40.141273498535156,14.905699729919434,13.178049087524414,23.74897003173828,23.496856689453125
2000-01-12,,,,,,,,,16.705219268798828,17.6408748626709,19.68260383605957,39.9705696105957,14.983904838562012,13.042196273803711,23.35431480407715,23.36327362060547
2000-01-13,,,,,,,,,16.7738037109375,17.94879150390625,20.058218002319336,40.33638000488281,15.06209659576416,12.921436309814453,24.05076789855957,23.484704971313477
2000-01-14,,,,,,,,,16.656230926513672,17.83953857421875,19.918701171875,41.263084411621094,15.110968589782715,13.027098655700684,23.84183120727539,23.42398452758789
2000-01-18,,,,,,,,,16.25452423095703,18.058059692382812,19.89723777770996,41.4825553894043,14.856831550598145,12.97426700592041,23.40074920654297,23.29041290283203
2000-01-19,,,,,,,,,15.940984725952148,17.998462677001953,19.832843780517578,41.55573654174805,14.964349746704102,12.981815338134766,23.957901000976562,23.241851806640625
2000-01-20,,,,,,,,,15.519691467285156,17.998462677001953,19.70405387878418,41.79959487915039,14.7590970993042,13.042196273803711,23.772184371948242,22.926128387451172
2000-01-21,,,,,,,,,15.58828067779541,18.495101928710938,19.457223892211914,41.848365783691406,14.592926025390625,13.464860916137695,23.725759506225586,22.452543258666992
2000-01-24,,,,,,,,,15.176759719848633,17.83953857421875,18.89915657043457,40.48269271850586,14.172636985778809,13.283713340759277,23.0176944732666,21.614667892456055
2000-01-25,,,,,,,,,14.892626762390137,17.799802780151367,18.791833877563477,41.34843826293945,13.996708869934082,12.97426700592041,23.18020248413086,21.74825668334961
2000-01-26,,,,,,,,,14.892626762390137,17.521677017211914,18.942081451416016,39.99494171142578,14.123761177062988,12.913886070251465,23.07574462890625,21.906108856201172
2000-01-27,,,,,,,,,14.971014976501465,17.164094924926758,19.04939842224121,39.60475158691406,14.387675285339355,12.830862045288086,22.936450958251953,21.845388412475586
2000-01-28,,,,,,,,,14.716266632080078,16.965435028076172,18.544994354248047,38.190303802490234,14.27038288116455,12.76293659210205,22.472139358520508,20.983230590820312
2000-01-31,,,,,,,,,14.628087043762207,17.36274528503418,18.673786163330078,39.45842742919922,14.534286499023438,13.351642608642578,22.367677688598633,21.14109230041504
2000-02-01,,,,,,,,,14.892626762390137,17.323022842407227,18.544994354248047,40.287593841552734,14.387675285339355,13.253525733947754,22.657869338989258,21.906108856201172
2000-02-02,,,,,,,,,14.961215019226074,17.432279586791992,18.55573081970215,40.58024597167969,14.41699504852295,13.185598373413086,23.215028762817383,21.760387420654297
2000-02-03,,,,,,,,,14.70646858215332,17.223690032958984,18.544994354248047,41.75082778930664,14.221502304077148,13.162952423095703,23.42396354675293,21.845388412475586
2000-02-04,,,,,,,,,14.686873435974121,16.7270450592041,18.620126724243164,42.23857879638672,14.2117338180542,13.095022201538086,23.505218505859375,21.808961868286133
2000-02-07,,,,,,,,,14.402741432189941,16.915773391723633,18.298154830932617,42.72632598876953,14.192191123962402,13.057292938232422,23.122163772583008,21.347522735595703
2000-02-08,,,,,,,,,14.363553047180176,16.766775131225586,18.373294830322266,43.11652374267578,14.368128776550293,13.087479591369629,23.377531051635742,21.8332462310791
2000-02-09,,,,,,,,,14.079414367675781,16.21053123474121,18.18011474609375,42.57999038696289,14.241060256958008,13.087479591369629,22.95966148376465,21.46895408630371
2000-02-10,,,,,,,,,13.961838722229004,16.548250198364258,17.868877410888672,43.59206771850586,13.762117385864258,12.89879035949707,22.76233673095703,21.274669647216797
2000-02-11,,,,,,,,,13.618914604187012,16.34959602355957,17.493257522583008,42.43367385864258,13.498215675354004,12.67236614227295,22.773937225341797,20.97109031677246
2000-02-14,,,,,,,,,13.844268798828125,16.60785675048828,17.772293090820312,42.45805740356445,13.566638946533203,12.687460899353027,22.35607147216797,21.080379486083984
2000-02-15,,,,,,,,,14.44193172454834,17.303157806396484,18.083524703979492,42.57999038696289,13.869640350341797,12.657270431518555,22.18195915222168,21.128948211669922
2000-02-16,,,,,,,,,14.108810424804688,17.38262176513672,18.040590286254883,42.36051940917969,13.674154281616211,12.604434967041016,21.555152893066406,20.303218841552734
2000-02-17,,,,,,,,,14.079414367675781,17.36274528503418,18.1157169342041,43.31162643432617,13.468893051147461,12.528963088989258,21.543537139892578,19.720355987548828
2000-02-18,,,,,,,,,13.648314476013184,16.856168746948242,17.718629837036133,41.848365783691406,13.312507629394531,12.068557739257812,20.951557159423828,19.428916931152344
